Date,Open,High,Low,Close,Adj Close,Volume
1/4/2007,17322.5,17379.46094,17315.75977,17353.66992,17353.66992,80200
1/5/2007,17315.53906,17327.13086,17011.09961,17091.58984,17091.58984,158600
1/9/2007,17018.89063,17261.0293,16983.9707,17237.76953,17237.76953,142400
1/10/2007,17192.41992,17199.41992,16847.57031,16942.40039,16942.40039,133400
1/11/2007,16958.57031,17057.44922,16758.46094,16838.16992,16838.16992,122000
1/12/2007,16979.73047,17160.76953,16941.39063,17057.00977,17057.00977,139400
1/15/2007,17160.25,17273.58008,17144.43945,17209.91992,17209.91992,124400
1/16/2007,17190.90039,17287.96094,17175.84961,17202.46094,17202.46094,128400
1/17/2007,17153.25,17335.0293,17002.66992,17261.34961,17261.34961,147000
1/18/2007,17248.14063,17408.61914,17220.41992,17370.92969,17370.92969,148800
1/19/2007,17340.38086,17378.21094,17242.76953,17310.43945,17310.43945,121400
1/22/2007,17429.90039,17484.58984,17401.32031,17424.17969,17424.17969,125600
1/23/2007,17350.31055,17442,17321.28906,17408.57031,17408.57031,161200
1/24/2007,17505.31055,17553.0293,17498.35938,17507.40039,17507.40039,192200
1/25/2007,17604.59961,17617.64063,17427.53906,17458.30078,17458.30078,159000
1/26/2007,17368.05078,17421.92969,17300.83984,17421.92969,17421.92969,134400
1/29/2007,17393.18945,17489.58984,17319.36914,17470.46094,17470.46094,149200
1/30/2007,17510,17558.5293,17452.63086,17490.18945,17490.18945,155000
1/31/2007,17493.83008,17497.85938,17275.83984,17383.41992,17383.41992,146000
2/1/2007,17377.0293,17543.96094,17361.00977,17519.5,17519.5,167800
2/2/2007,17569.16016,17633.60938,17532.64063,17547.10938,17547.10938,162000
2/5/2007,17531.41016,17531.41016,17294.98047,17344.80078,17344.80078,152400
2/6/2007,17384.5,17433.26953,17345.09961,17406.85938,17406.85938,157000
2/7/2007,17367.91016,17374.82031,17199.66016,17292.32031,17292.32031,172200
2/8/2007,17368.34961,17400.34961,17212.7793,17292.48047,17292.48047,141800
2/9/2007,17339.56055,17545.71094,17274.89063,17504.33008,17504.33008,159600
2/13/2007,17481.76953,17628.0293,17440.42969,17621.44922,17621.44922,170000
2/14/2007,17662.28906,17789.91992,17648.81055,17752.64063,17752.64063,164800
2/15/2007,17891.24023,17911.58008,17815.16992,17897.23047,17897.23047,151400
2/16/2007,17828.7793,17884.89063,17793.34961,17875.65039,17875.65039,137600
2/19/2007,17835.13086,17974,17810.05078,17940.08984,17940.08984,137000
